question,a,b,c,d,correct
What type of plate boundary forms when two plates move away from each other?,Transform boundary,Divergent boundary,Convergent boundary,Fault block boundary,b
Which layer is directly beneath Earth's crust?,Inner core,Outer core,Asthenosphere,Upper atmosphere,c
At a convergent boundary with oceanic and continental crust which plate usually subducts?,Continental plate,Oceanic plate,Neither plate,Both plates,b
What is the main driver of plate movement?,Moonlight cycles,Convection currents in the mantle,Ocean tides,Wind pressure,b
What landform often forms where two continental plates collide?,Mid ocean ridge,Deep sea trench,Volcanic island arc,Mountain range,d
Which boundary is most associated with frequent shallow earthquakes?,Transform boundary,Hotspot boundary,Subduction only boundary,Divergent only boundary,a
What happens to oceanic crust density as it cools and gets older?,It decreases,It stays exactly the same,It often increases,It becomes zero,c
A deep ocean trench is most likely found at which boundary?,Divergent boundary,Convergent subduction boundary,Transform boundary,Passive margin,b
If one plate is denser than another at collision what is most likely to occur?,The denser plate subducts,The less dense plate subducts,Both plates rise upward,Neither plate moves,a
Which process recycles old oceanic crust back into the mantle?,Weathering,Erosion,Subduction,Deposition,c
Mantle convection is primarily caused by what?,Differences in temperature and density,Daily rotation alone,Rainfall patterns,Magnetic storms,a
At a convergent boundary compression most directly causes which stress type?,Tensional stress,Compressional stress,Shear stress,No stress,b
Where is new oceanic crust mainly created?,Mid ocean ridges,Deep trenches,Continental shields,River deltas,a
Which boundary mostly involves plates sliding past each other?,Transform boundary,Divergent boundary,Convergent boundary,Collision boundary,a
The lithosphere is made of the crust plus what?,Ocean water,Uppermost mantle,Outer core,Asthenosphere only,b
The asthenosphere is best described as what?,Rigid and brittle rock,Slowly flowing solid rock,Liquid iron metal,Empty space,b
Which instrument records earthquake waves?,Thermometer,Rain gauge,Seismograph,Compass,c
S waves cannot travel through which material?,Solids,Liquids,Crustal rock,Granite,b
The point on Earth's surface above an earthquake focus is called what?,Epicenter,Hypocenter,Fault plane,Aftershock,a
The Pacific Ring of Fire is mainly linked to what?,Subduction zones around the Pacific,Desert climates,Polar winds,River flooding,a
Magma that reaches Earth's surface is called what?,Lava,Magnesite,Ash cloud,Mantle plume,a
Continental rift valleys most commonly begin at which boundary?,Divergent boundary,Transform boundary,Convergent boundary,Passive margin,a
Which evidence strongly supported continental drift early on?,Matching fossils and coastlines,Satellite TV maps,Daily weather charts,Moon phases,a
What was the name of the ancient supercontinent?,Laurasia,Pangaea,Panthalassa,Gondwana Ocean,b
Which force is often considered a major driver of plate motion today?,Slab pull,Wind drag,Tidal locking,Coriolis spin,a
Ridge push is linked to which setting?,High elevated mid ocean ridges,Deep ocean trenches,River valleys,Ice sheets,a
Oceanic crust is mostly made of which rock type?,Granite,Basalt,Sandstone,Limestone,b
Continental crust is generally what compared with oceanic crust?,Thinner and denser,Thinner and lighter,Thicker and less dense,Same thickness,c
Which Earth layer is liquid?,Inner core,Outer core,Lower mantle,Crust,b
The inner core is mostly made of what?,Solid iron and nickel,Liquid silica,Basalt magma,Frozen methane,a
Most tsunamis are triggered by what?,Undersea earthquakes at subduction zones,Strong sea breezes,Daily tides,Coral bleaching,a
Which stress tends to pull rocks apart?,Compressional stress,Tensional stress,Shear stress,Thermal stress,b
Which stress causes rocks to slide past each other?,Shear stress,Tensional stress,Compressional stress,Hydrostatic stress,a
Normal faults usually form under which stress?,Compression,Tension,Shear only,No stress,b
Reverse faults usually form under which stress?,Compression,Tension,Cooling stress,Frictionless stress,a
Strike slip faults are most commonly linked to which boundary?,Transform boundary,Divergent boundary,Ocean ridge boundary,Hotspot boundary,a
The Himalayas formed mainly from which collision?,Oceanic with oceanic,Oceanic with continental,Continental with continental,Continental with hotspot,c
The Mid Atlantic Ridge is an example of what?,Transform fault zone,Divergent plate boundary,Convergent trench zone,Passive margin,b
Typical plate motion rates are about what?,Millimeters per century,Centimeters per year,Kilometers per day,Meters per minute,b
The Hawaiian island chain shows which process?,Plate moving over a hotspot,Two plates colliding,Transform sliding only,Glacier carving,a
The oldest oceanic crust is usually found where?,Closest to ridges,Farther from ridges near trenches,Under continents only,At random spots,b
Why is very old oceanic crust rare?,It is recycled by subduction,It dissolves in rain,It turns into air,It stops aging,a
What feature often appears first when a continent begins to split?,Rift valley,Island arc,Deep trench,Fold mountain belt,a
Volcanic island arcs are most common at which boundary?,Ocean ocean convergent boundary,Transform boundary,Continental divergent boundary,Passive margin,a
The Andes are mainly caused by what?,Oceanic plate subducting under a continent,Continent pulling apart,Hotspot shield volcanism only,Wind erosion,a
In subduction zones added fluids do what to mantle rock?,Raise melting temperature,Lower melting temperature,Remove all minerals,Freeze the mantle,b
Which layer is generally the hottest?,Crust,Upper mantle,Outer core,Inner core,d
As depth increases in Earth pressure generally does what?,Decreases,Stays the same,Increases,Drops to zero,c
Convection currents are best described as what?,Hot material rises and cool material sinks,Material only moves east,Material only sinks,Material only rises,a
Which evidence directly supports seafloor spreading?,Symmetrical magnetic stripes at ridges,Daily wave height,River sediment color,Coral reef growth,a
Magnetic stripes on the seafloor record what?,Earth's magnetic reversals,Lunar eclipses,Storm seasons,Rock hardness only,a
At transform boundaries crust is usually what overall?,Created quickly,Destroyed quickly,Conserved as plates slide,Melted into magma,c
Which feature pair is likely at an oceanic continental convergent boundary?,Trench and volcanic arc,Mid ocean ridge and rift valley,Two passive margins,No earthquakes,a
Earthquake magnitude is a measure of what?,Energy released,Cloud cover,Plate color,Rock age,a
Earthquake intensity describes what?,Shaking effects at a location,Total energy at source,Earth radius,Fault length only,a
Which classroom model best demonstrates convection?,Warm water rising and cool water sinking,Sand grains settling flat,Compass spinning randomly,Dry leaves blowing,a
In continent continent collisions what is often less common than in subduction zones?,Deep trenches and volcanic arcs,Mountain building,Folded rock layers,Compression,a
Why do scientists map plate boundaries?,To understand hazards and landform patterns,To stop all earthquakes,To control plate direction,To remove volcanoes,a
